endpoint,method,backend_action,ui_screen,ui_trigger,frontend_called,frontend_source
/brandgodfather/answer/,POST,"Submit one BrandGodFather answer; sync returns pass/reject and next question, async queues a task.","BrandGodFather interview flow","User submits an answer",no,""
/brandgodfather/answer/status/{task_id}/,GET,"Poll async BrandGodFather answer task state and fetch result when complete.","BrandGodFather loading/progress state","UI polls after async answer submit",no,""
/brandgodfather/output/{session_id}/campaign/,GET,"Fetch latest generated campaign output for the session from Elasticsearch.","Campaign output screen","Open campaign results",no,""
/brandgodfather/output/{session_id}/outreach/,GET,"Fetch latest generated outreach output for the session from Elasticsearch.","Outreach output screen","Open outreach results",no,""
/brandgodfather/output/{session_id}/social/,GET,"Fetch latest generated social output for the session from Elasticsearch.","Social output screen","Open social results",no,""
/brandgodfather/session/start/,POST,"Create BrandGodFather session and return first question plus welcome sequence.","BrandGodFather start screen","Click start journey",no,""
/brandgodfather/session/{session_id}/,GET,"Return BrandGodFather session state, current question, answers, and depth history.","Resume BrandGodFather session","Open existing BG session",no,""
/document/documents/,GET,"List documents uploaded by the authenticated user.","Documents library","Open documents page",no,""
/document/documents/,POST,"Upload a PDF document and queue background indexing.","Document upload flow","Upload file",no,""
/document/documents/{id}/,GET,"Fetch one document record and indexing metadata.","Document detail panel","Open document detail",no,""
/document/documents/{id}/,PUT,"Fully update a document record.","Document edit form","Save full document edit",no,""
/document/documents/{id}/,PATCH,"Partially update a document record.","Document quick edit UI","Save partial document edit",no,""
/document/documents/{id}/,DELETE,"Delete the document record and queue index/file cleanup.","Documents library","Click delete document",no,""
/document/documents/{id}/search/,POST,"Search inside one indexed document using keyword, vector, or hybrid search.","Search-in-document panel","Submit document search query",no,""
/sessions/,GET,"List sessions visible to the user based on role, optionally filtered by status.","Sessions/projects list","Open sessions page or filter",yes,"GodFather_frontend/src/services/authService.js; GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/chunk-quality/,GET,"Run/administer chunk quality audit for retrieved RAG chunks.","Admin chunk quality dashboard","Open chunk audit page",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/cognition-dashboard/,GET,"Return combined admin cognition dashboard data: observability, cost, workflow usage, live metrics, and system health.","Admin cognition dashboard","Open admin command center",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/cognition-live/,GET,"Return near-real-time cognition/live metrics.","Admin live monitoring panel","Open live cognition view",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/cognition-traces/,GET,"Return recent cognition traces for admin inspection.","Admin trace explorer","Open cognition traces",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/feedback-review/,GET,"Return aggregated feedback review items for admin QA.","Admin feedback review screen","Open feedback review",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/ops-intelligence/,GET,"Return AI operations intelligence metrics.","Admin ops intelligence dashboard","Open ops intelligence",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/product-signals/,GET,"Return aggregated product signal analytics.","Admin product signals dashboard","Open product signals",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/questions/bulk-set/,POST,"Admin bulk replace of question sets for configured stages.","Admin question management","Save bulk question set",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/rag-dev/config/,GET,"Load current RAG dev configuration and prompt settings.","Admin RAG config editor","Open RAG config screen",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/rag-dev/config/,POST,"Save RAG dev configuration and prompt settings.","Admin RAG config editor","Save RAG config",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/rag-dev/index-status/,GET,"Return RAG knowledge index existence, document count, fingerprint, and rebuild need.","Admin RAG index status panel","Open index status",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/rag-dev/rebuild-index/,POST,"Trigger knowledge index rebuild, optionally async.","Admin RAG maintenance screen","Click rebuild index",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/admin/rag-dev/test-query/,POST,"Run a debug RAG query with optional prompt injection and return debug artifacts.","Admin RAG test console","Submit test query",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/ai-cost-dashboard/,GET,"Return admin AI cost metrics for selected time window.","AI cost dashboard","Open AI cost analytics",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/ai-tasks/{task_id}/,GET,"Poll a long-running AI task such as manifesto or summary generation.","Async task progress state","UI polls task status",no,""
/sessions/brand-workflows/,GET,"List available brand/product workflows.","Workflow catalog","Open workflows page",yes,"GodFather_frontend/src/services/authService.js"
/sessions/create/,POST,"Create a new branding session in draft state.","New project/session flow","Click create session",yes,"GodFather_frontend/src/services/authService.js"
/sessions/dashboard/agency/,GET,"Return full agency dashboard with stats, queue, AI alerts, client progress, and activity.","Agency dashboard","Open agency dashboard",yes,"GodFather_frontend/src/services/authService.js"
/sessions/dashboard/review/,GET,"Return agency review queue grouped by session status with stats.","Review dashboard","Open reviewer dashboard",no,""
/sessions/dashboard/task/,GET,"Return client's own task dashboard session view.","Task dashboard","Open client task dashboard",no,""
/sessions/dashboard/user/,GET,"Return user dashboard with progress, AI suggestions, feedback, manifesto status, and recent activity.","User dashboard","Open user home/dashboard",yes,"GodFather_frontend/src/services/authService.js"
/sessions/demo-brands/,GET,"Return demo brand catalog for showcase/demo flows.","Demo brands gallery","Open demo catalog",yes,"GodFather_frontend/src/services/authService.js"
/sessions/pilot-summary/,GET,"Return user-level pilot KPI summary.","Pilot summary dashboard","Open pilot summary",yes,"GodFather_frontend/src/services/authService.js"
/sessions/product-observability/,GET,"Return product observability KPIs.","Product observability dashboard","Open observability page",yes,"GodFather_frontend/src/services/authService.js; GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/questions/,GET,"Return stage-aware questions for the session or full active question list when no session is provided.","Questionnaire screen","Load questions/current step",yes,"GodFather_frontend/src/services/authService.js; GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/rag-agents/,GET,"List available RAG agents.","RAG agent selector","Open RAG tools or selector",no,""
/sessions/rag-query/,POST,"Run a global RAG query outside a specific session.","Global RAG console/chat","Submit generic AI query",yes,"GodFather_frontend/src/services/authService.js"
/sessions/rag-query/stream/,POST,"Run a streaming global RAG query via SSE.","Streaming global RAG chat","Start streaming AI query",yes,"GodFather_frontend/src/services/authService.js"
/sessions/rag-system-health/,GET,"Return RAG system health status.","RAG diagnostics panel","Open system health",yes,"GodFather_frontend/src/admin/lib/adminApi.js"
/sessions/sessions/{id}/ai-suggestion/draft/,POST,"Generate improved answer plus follow-up question using session context, conversation history, and RAG sources.","Draft answer coaching/chat","Ask AI to refine current draft",yes,"GodFather_frontend/src/services/authService.js"
/sessions/sessions/{id}/answer-ai-suggestion-from-documents/,POST,"Generate answer suggestion grounded in uploaded indexed documents.","Document-assisted answer drafting","Use documents for AI answer help",no,""
/sessions/{id}/,GET,"Fetch full session detail.","Session overview/detail","Open a session",no,""
/sessions/{id}/,PATCH,"Partially update session fields such as title; admin can update additional fields.","Session settings/edit","Save session edits",yes,"GodFather_frontend/src/services/authService.js (setSessionLock uses PATCH on /sessions/{id}/)"
/sessions/{id}/,DELETE,"Delete a session when deletion rules allow it.","Sessions/projects list","Click delete session",no,""
/sessions/{id}/ai-answer-suggestions/,POST,"Classify current answer quality and return 2 to 3 suggestion snippets.","Inline answer hints","User types in answer field",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/answers/,GET,"List all answers for the session.","Questionnaire review or answer list","Load saved answers",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/answers/batch/,POST,"Upsert multiple answers in one request.","Bulk question form","Save multi-question page",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/answers/create/,POST,"Upsert a single answer with stage validation and feedback-learning capture.","Single question form","Save one answer",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/answers/{answer_id}/,DELETE,"Delete one answer if the session is editable.","Answer list/question form","Delete an answer",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/answers/{answer_id}/ai-suggestion/,POST,"Generate AI improvement for one existing saved answer.","Answer review/improvement UI","Click improve answer",no,""
/sessions/{id}/assign-agency/,POST,"Assign an agency to the session and notify agency members.","Session assignment/review setup","Assign agency",no,""
/sessions/{id}/assistant-suggestion/,POST,"Return a short contextual assistant bubble message based on route and progress.","Floating assistant/orb","Page load, idle state, or progress change",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/brand-book-insight/,POST,"Return a short explanation for a hovered brand-book heading.","Brand book tooltip/orb","Hover or tap heading insight",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/brand-brain/,GET,"Return persistent brand operating state.","Brand brain panel","Open brand brain",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/brand-brain/,PATCH,"Update persistent brand operating state.","Brand brain editor","Save brand brain changes",no,""
/sessions/{id}/brand-export/,GET,"Return export payload preview or JSON export details.","Export screen","Open export panel",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/brand-export/,POST,"Generate/export brand package as JSON, PDF, or PPTX.","Export screen","Click export/download",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/brand-workflow/,POST,"Run one selected brand workflow or a full workflow pack.","Workflow runner","Click run workflow",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/comments/,GET,"List review comments for the session.","Review comments panel","Open comments tab",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/comments/add/,POST,"Add a review comment to the session.","Review/feedback UI","Submit review comment",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/complete/,POST,"Mark session completed after required questions are answered.","Session completion step","Click complete session",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/conversations/,GET,"List AI conversation history for the session, optionally filtered by question.","AI chat/history panel","Open conversation history",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/conversations/{conversation_id}/edit/,PATCH,"Edit a user conversation message, delete later thread messages, and regenerate a follow-up question.","AI chat/history panel","Edit previous user message",no,""
/sessions/{id}/demo-pack/,POST,"Return an instant demo intelligence pack for a chosen demo brand.","Demo pack screen","Generate demo pack",yes,"GodFather_frontend/src/services/authService.js"
/sessions/{id}/feedback-learning/,GET,"Return learned user feedback/preferences profile.","Feedback learning profile","Open learning/preferences view",yes,"GodFather_frontend/src/services/authService.js"
